Store Name,Borough,Latitude,Longitude,NTA
Cherry Deli Gourmet,New York,40.78874,-73.948825,East Harlem South
Cherry Valley Market,New York,40.796167,-73.937941,East Harlem North
Super Fi Emporium,New York,40.790501,-73.947538,East Harlem South
NYC Fresh Market,New York,40.796358,-73.947512,East Harlem South
Fine Fare,New York,40.798265,-73.94612,East Harlem North
City Fresh Market,New York,40.791026,-73.943359,East Harlem South
1408 Deli & Grocery Corp.,Bronx,40.834741,-73.901771,Morrisania-Melrose
2009 Melissa Deli Corp.,Bronx,40.834199,-73.900167,Morrisania-Melrose
99 Cent Deli Square,Bronx,40.836328,-73.902603,Claremont-Bathgate
Associated Supermarket,Bronx,40.821432,-73.905183,Melrose South-Mott Haven North
Baraka African Market,Bronx,40.835698,-73.907714,East Concourse-Concourse Village
College Ave.  Deli and Market Inc.,Bronx,40.833333,-73.912802,East Concourse-Concourse Village
First Food Market,Bronx,40.835694,-73.903052,Claremont-Bathgate
Food Bazaar,Bronx,40.834931,-73.903144,Claremont-Bathgate
Key Food Supermarket.,Bronx,,,
La Hermadad Supermarket Inc.,Bronx,40.832698,-73.917847,East Concourse-Concourse Village
M&G Food Corp.,Bronx,40.830848,-73.910854,East Concourse-Concourse Village
Soumandji Meat Fish Market,Bronx,40.834317,-73.909953,East Concourse-Concourse Village
Z&F Deli Grocery,Bronx,40.826215,-73.907857,Morrisania-Melrose
Angelic Grocery and Deli Corp,Brooklyn,40.67425,-73.886974,East New York
Dama Food Market,Brooklyn,40.673169,-73.887315,East New York
Danilo's Corp Deli Grocery,Brooklyn,40.662374,-73.884828,East New York
George Deli & Grocery,Brooklyn,40.659602,-73.893566,East New York (Pennsylvania Ave)
JLC Deli Grocery,Brooklyn,40.676038,-73.885551,East New York
Melissa Meat Market,Brooklyn,40.670122,-73.890085,East New York
Quezada Deli Grocery,Brooklyn,40.66582,-73.888567,East New York
Sajoma Deli Grocery,Brooklyn,40.661971,-73.887788,East New York (Pennsylvania Ave)
"VA Grocery & Deli Corp  
(Brother's Mini Market)",Brooklyn,40.679876,-73.908009,Ocean Hill
Wild Olive Market,New York,40.806215,-73.941807,East Harlem North
Juan Calito Meat Corp./City Fresh,New York,40.80083,-73.937926,East Harlem North
Prince Deli Grocery,New York,40.80211,-73.945394,East Harlem North
TSM 2ND Ave Gourmet Deli,New York,40.799408,-73.937479,East Harlem North
Fine Fare Supermarket,New York,40.798278,-73.933731,East Harlem North
Viva Deli,New York,40.798278,-73.933731,East Harlem North
Abdur Sami,New York,40.797155,-73.937651,East Harlem North
Mis Hijos,New York,40.801484,-73.934425,East Harlem North
Oasis Gourmet Deli,New York,40.806313,-73.94024,East Harlem North
Tasty Pick Deli & Grocery,New York,40.799202,-73.94121,East Harlem North
K&O Deli Grocery,New York,40.797964,-73.937061,East Harlem North
Finest Food Corp,New York,40.795527,-73.932824,East Harlem North
2001 GOURMET DELI,Bronx,40.846375,-73.888858,East Tremont
347 CHABELY DELI GROCERY,Bronx,40.843433,-73.905145,Mount Hope
ALFONSOS DELI & GROCERY,Bronx,40.856256,-73.90064,Fordham South
AMIGOS GROCERY,Bronx,40.839504,-73.899545,Claremont-Bathgate
FELINO GROCERY,Bronx,40.847412,-73.903704,Mount Hope
FELOMAR GROCERY STORE,Bronx,40.846798,-73.908111,Mount Hope
HABIBI DELI,Bronx,40.847236,-73.888101,East Tremont
LOS PALMARITOS DELI GROCERY,Bronx,40.852753,-73.899897,Mount Hope
PAULINO GROCERY,Bronx,40.850821,-73.893958,East Tremont
SAER & JAMAL MARKET 2,Bronx,40.846509,-73.894814,East Tremont
CONCOURSE FOOD PLAZA,Bronx,40.854042,-73.902295,Mount Hope
305 GROCERY DELI,Bronx,40.854045,-73.899172,Mount Hope
551 REY FOOD,Bronx,40.847528,-73.894599,East Tremont
ALANTE ALANTE DELI GROCERY,Bronx,40.84833,-73.905669,Mount Hope
BANESA DELI GROCERY 2,Bronx,40.851468,-73.902885,Mount Hope
BODEGA BUILT,Bronx,40.849394,-73.891375,East Tremont
CHICKEN DELI GROCERY,Bronx,40.850351,-73.893326,East Tremont
